project_id,state,district,constituency,mp_name,sector,title,description,village,block,latitude,longitude,sanctioned_amount,estimated_cost,expenditure,recommendation_date,sanction_date,start_date,completion_date,status,contractor_name,implementing_agency
MPL-00195,Bihar,Patna,Patna Sahib,R. S. Prasad,Education & Schools,Installation of Smart Classroom and Computer Lab in Village-16,Installation of Smart Classroom and Computer Lab in Village-16,Village-16,Block-9,25.58164,85.21197,849289.0,867264.41,618204.25,2023-08-12,2023-08-26,2023-10-13,2024-03-16,Completed,Local Panchayat Works Unit,Public Works Department (PWD)
MPL-00196,Madhya Pradesh,Indore,Indore,S. Lalwani,Community Infrastructure,Installation of Public Shed and Seating Area at Village-146,Installation of Public Shed and Seating Area at Village-146,Village-146,Block-8,22.6641,75.94795,432654.0,429841.01,428009.67,2023-08-13,2023-08-31,2023-10-03,,In Progress,Kisan Rural Developers,District Rural Development Agency (DRDA)
MPL-00197,Bihar,Patna,Patna Sahib,R. S. Prasad,Community Infrastructure,Construction of Community Hall at Village Village-35,Construction of Community Hall at Village Village-35,Village-35,Block-5,25.60488,85.27699,2226221.0,2139169.71,1628919.95,2024-03-12,2024-04-05,2024-05-19,2024-08-17,Completed,Bharat Engineers & Builders,Municipal Corporation
MPL-00198,Rajasthan,Jaipur,Jaipur,M. Joshi,Community Infrastructure,Construction of Community Hall at Village Village-41,Construction of Community Hall at Village Village-41,Village-41,Block-7,27.01937,75.6818,2438761.0,2391013.71,2222714.68,2024-08-14,2024-09-09,2024-09-26,,In Progress,Bharat Engineers & Builders,District Rural Development Agency (DRDA)
MPL-00199,Uttar Pradesh,Varanasi,Varanasi,N. Modi,Rural Connectivity & Roads,Paver Block Road Construction in Village-45,Paver Block Road Construction in Village-45,Village-45,Block-1,25.30621,83.06507,532591.0,556669.26,509359.59,2024-07-12,2024-07-23,2024-09-11,,In Progress,National Civil Projects,Public Works Department (PWD)
MPL-00200,Bihar,Patna,Patna Sahib,R. S. Prasad,Drinking Water & Sanitation,Installation of RO Water Purification Plant at Village-103,Installation of RO Water Purification Plant at Village-103,Village-103,Block-2,25.45064,85.00694,890321.0,906906.37,873647.49,2023-03-08,2023-03-28,2023-05-19,2023-08-06,Completed,Surya Shakti Engineering,Rural Engineering Service (RES)
MPL-00201,Gujarat,Rajkot,Rajkot,P. Rupala,Community Infrastructure,Paver block road work Part 1 Village-77,Paver block road work Part 1 Village-77,Village-77,Block-5,22.35886,70.70404,495000.0,495000.0,490000.0,2024-01-22,2023-08-15,2024-03-26,,In Progress,Apex Infrastructure Ltd,Rural Engineering Service (RES)
MPL-00202,Karnataka,Bengaluru Rural,Bengaluru Rural,C. N. Manjunath,Drinking Water & Sanitation,Paver block road work Part 2 Village-77,Paver block road work Part 2 Village-77,Village-77,Block-4,12.99843,77.45897,495000.0,495000.0,490000.0,2024-06-17,2023-08-15,2024-08-31,,In Progress,Apex Infrastructure Ltd,Minor Irrigation Division
MPL-00203,Uttar Pradesh,Varanasi,Varanasi,N. Modi,Education & Schools,Paver block road work Part 3 Village-77,Paver block road work Part 3 Village-77,Village-77,Block-5,25.22154,82.91956,495000.0,495000.0,490000.0,2024-07-22,2023-08-15,2024-09-18,2025-01-25,Completed,Apex Infrastructure Ltd,Public Works Department (PWD)
MPL-00204,Karnataka,Bengaluru Rural,Bengaluru Rural,C. N. Manjunath,Renewable Energy,Supply and installation of 25 Solar Street Lights in Village-150,Supply and installation of 25 Solar Street Lights in Village-150,Village-150,Block-10,13.15939,77.69298,622034.0,651517.16,454109.89,2024-10-12,2024-11-03,2024-12-03,,In Progress,Apex Infrastructure Ltd,Rural Engineering Service (RES)
MPL-00205,Kerala,Wayanad,Wayanad,P. Gandhi,Drinking Water & Sanitation,Installation of RO Water Purification Plant at Village-61,Installation of RO Water Purification Plant at Village-61,Village-61,Block-10,11.74557,76.26627,1121301.0,1100893.81,1033202.1,2023-12-18,2024-01-03,2024-02-24,,In Progress,Local Panchayat Works Unit,Rural Engineering Service (RES)
MPL-00206,Karnataka,Bengaluru Rural,Bengaluru Rural,C. N. Manjunath,Renewable Energy,Supply and installation of 25 Solar Street Lights in Village-45,Supply and installation of 25 Solar Street Lights in Village-45,Village-45,Block-3,13.0579,77.51732,757129.0,722146.89,542748.22,2024-08-19,2024-09-08,2024-10-07,,In Progress,Local Panchayat Works Unit,Rural Engineering Service (RES)
MPL-00207,Maharashtra,Nagpur,Nagpur,N. Gadkari,Rural Connectivity & Roads,Construction of CC Road and Drainage Channel at Village-6,Construction of CC Road and Drainage Channel at Village-6,Village-6,Block-2,21.10788,79.22078,1809774.0,1825448.3,1764832.32,2023-04-04,2023-04-24,2023-06-11,2023-08-28,Completed,Vanguard Infra Solutions,Minor Irrigation Division
MPL-00208,Rajasthan,Jaipur,Jaipur,M. Joshi,Rural Connectivity & Roads,Construction of CC Road and Drainage Channel at Village-41,Construction of CC Road and Drainage Channel at Village-41,Village-41,Block-10,26.97047,75.91595,3035853.0,3172069.76,2846272.35,2024-04-28,2024-05-13,2024-07-08,2025-01-27,Completed,Kisan Rural Developers,Rural Engineering Service (RES)
MPL-00209,Madhya Pradesh,Indore,Indore,S. Lalwani,Rural Connectivity & Roads,Widening of Rural Link Road connecting Village-76,Widening of Rural Link Road connecting Village-76,Village-76,Block-10,22.57931,75.88842,2534137.0,2452463.86,1775262.74,2024-07-27,2024-08-09,2024-09-18,2025-04-11,Completed,Local Panchayat Works Unit,Rural Engineering Service (RES)
MPL-00210,Karnataka,Bengaluru Rural,Bengaluru Rural,C. N. Manjunath,Drinking Water & Sanitation,Construction of Public Toilets and Sanitation Block in Village-20,Construction of Public Toilets and Sanitation Block in Village-20,Village-20,Block-5,13.10623,77.6838,849556.0,836541.66,676123.9,2024-09-27,2024-10-13,2024-11-02,2025-06-21,Completed,Surya Shakti Engineering,Public Works Department (PWD)
MPL-00211,Bihar,Patna,Patna Sahib,R. S. Prasad,Community Infrastructure,Development of Community Center and Boundary Wall in Village-66,Development of Community Center and Boundary Wall in Village-66,Village-66,Block-9,25.70947,85.13552,1625250.0,1561545.82,1138299.66,2024-01-09,2024-01-31,2024-03-14,2024-06-24,Completed,Vanguard Infra Solutions,District Rural Development Agency (DRDA)
MPL-00212,Gujarat,Rajkot,Rajkot,P. Rupala,Education & Schools,Solar Rooftop Power System installation for School at Village-58,Solar Rooftop Power System installation for School at Village-58,Village-58,Block-7,22.23224,70.68362,585278.0,582426.96,550019.9,2023-01-20,2023-02-04,2023-03-09,,In Progress,Kisan Rural Developers,Rural Engineering Service (RES)
MPL-00213,Gujarat,Rajkot,Rajkot,P. Rupala,Renewable Energy,Installation of Solar LED High-Mast Lighting System at Village-87,Installation of Solar LED High-Mast Lighting System at Village-87,Village-87,Block-6,22.3361,70.78246,711443.0,745967.63,688653.95,2023-01-16,2023-02-01,2023-03-15,2023-06-25,Completed,Apex Infrastructure Ltd,Public Works Department (PWD)
MPL-00214,Bihar,Patna,Patna Sahib,R. S. Prasad,Education & Schools,Solar Rooftop Power System installation for School at Village-142,Solar Rooftop Power System installation for School at Village-142,Village-142,Block-3,25.47287,85.10547,878555.0,915943.98,757347.47,2024-10-27,2024-11-07,2024-12-10,,In Progress,Reliable Works Corporation,Municipal Corporation
MPL-00215,Kerala,Wayanad,Wayanad,P. Gandhi,Community Infrastructure,Development of Community Center and Boundary Wall in Village-23,Development of Community Center and Boundary Wall in Village-23,Village-23,Block-2,11.59749,76.17346,1108857.0,1144772.58,984140.84,2024-04-17,2024-05-06,2024-06-02,,In Progress,Shree Ganesh Construction Co,Municipal Corporation
MPL-00216,Madhya Pradesh,Indore,Indore,S. Lalwani,Education & Schools,Installation of Smart Classroom and Computer Lab in Village-68,Installation of Smart Classroom and Computer Lab in Village-68,Village-68,Block-5,22.58299,75.83962,795563.0,806849.36,649384.77,2023-12-18,2024-01-15,2024-02-23,2024-08-15,Completed,Sai Urban Works Pvt Ltd,Rural Engineering Service (RES)
MPL-00217,Uttar Pradesh,Varanasi,Varanasi,N. Modi,Drinking Water & Sanitation,Drilling of Deep Borewell and Overhead Tank Setup at Village-25,Drilling of Deep Borewell and Overhead Tank Setup at Village-25,Village-25,Block-9,25.1859,82.94003,539870.0,548947.44,508802.67,2024-02-03,2024-02-28,2024-04-20,,In Progress,Reliable Works Corporation,Municipal Corporation
MPL-00218,Bihar,Patna,Patna Sahib,R. S. Prasad,Education & Schools,Installation of Smart Classroom and Computer Lab in Village-21,Installation of Smart Classroom and Computer Lab in Village-21,Village-21,Block-3,25.64736,85.17368,1113982.0,1158850.66,1018504.51,2024-05-14,2024-05-29,2024-07-19,2025-02-10,Completed,Shree Ganesh Construction Co,Municipal Corporation
MPL-00219,Bihar,Patna,Patna Sahib,R. S. Prasad,Drinking Water & Sanitation,Installation of RO Water Purification Plant at Village-11,Installation of RO Water Purification Plant at Village-11,Village-11,Block-7,25.62261,85.08352,943940.0,904140.52,854206.84,2023-06-29,2023-07-26,2023-09-19,,In Progress,Shree Ganesh Construction Co,Public Works Department (PWD)
MPL-00220,Madhya Pradesh,Indore,Indore,S. Lalwani,Renewable Energy,Supply and installation of 25 Solar Street Lights in Village-71,Supply and installation of 25 Solar Street Lights in Village-71,Village-71,Block-10,22.60336,75.75259,772466.0,769233.78,743143.09,2024-09-17,2024-09-30,2024-11-21,2025-05-07,Completed,Local Panchayat Works Unit,Minor Irrigation Division
MPL-00221,Gujarat,Rajkot,Rajkot,P. Rupala,Renewable Energy,Installation of Solar LED High-Mast Lighting System at Village-74,Installation of Solar LED High-Mast Lighting System at Village-74,Village-74,Block-3,22.33659,70.66344,680826.0,706706.63,655886.03,2023-08-30,2023-09-28,2023-11-06,2024-05-30,Completed,Sai Urban Works Pvt Ltd,Municipal Corporation
MPL-00222,Madhya Pradesh,Indore,Indore,S. Lalwani,Community Infrastructure,Development of Community Center and Boundary Wall in Village-85,Development of Community Center and Boundary Wall in Village-85,Village-85,Block-2,22.81482,75.79862,1524056.0,1484061.61,1407808.55,2023-09-16,2023-10-03,2023-11-10,,In Progress,Sai Urban Works Pvt Ltd,Municipal Corporation
MPL-00223,Maharashtra,Nagpur,Nagpur,N. Gadkari,Rural Connectivity & Roads,Widening of Rural Link Road connecting Village-114,Widening of Rural Link Road connecting Village-114,Village-114,Block-6,21.05922,79.18539,3345819.0,3268671.1,2760407.13,2024-10-12,2024-10-23,2024-11-12,,In Progress,Surya Shakti Engineering,Minor Irrigation Division
MPL-00224,Maharashtra,Nagpur,Nagpur,N. Gadkari,Community Infrastructure,Development of Community Center and Boundary Wall in Village-130,Development of Community Center and Boundary Wall in Village-130,Village-130,Block-1,21.25835,78.99842,1222979.0,1178419.74,1168420.2,2024-07-12,2024-08-05,2024-08-21,,In Progress,Apex Infrastructure Ltd,Rural Engineering Service (RES)
MPL-00225,Uttar Pradesh,Varanasi,Varanasi,N. Modi,Rural Connectivity & Roads,Widening of Rural Link Road connecting Village-51,Widening of Rural Link Road connecting Village-51,Village-51,Block-3,25.17677,82.93564,3149144.0,3107686.13,2642968.04,2024-01-17,2024-02-11,2024-04-06,2024-11-26,Completed,Local Panchayat Works Unit,Municipal Corporation
MPL-00226,Kerala,Wayanad,Wayanad,P. Gandhi,Rural Connectivity & Roads,Construction of CC Road and Drainage Channel at Village-67,Construction of CC Road and Drainage Channel at Village-67,Village-67,Block-4,11.79155,76.21595,3070685.0,3172284.82,2232749.03,2023-01-13,2023-01-29,2023-03-09,,In Progress,Bharat Engineers & Builders,Rural Engineering Service (RES)
MPL-00227,Rajasthan,Jaipur,Jaipur,M. Joshi,Education & Schools,Solar Rooftop Power System installation for School at Village-6,Solar Rooftop Power System installation for School at Village-6,Village-6,Block-10,26.81436,75.87756,953315.0,980036.77,886842.08,2022-12-22,2023-01-10,2023-02-24,2023-10-07,Completed,Bharat Engineers & Builders,District Rural Development Agency (DRDA)
MPL-00228,Rajasthan,Jaipur,Jaipur,M. Joshi,Education & Schools,Installation of Smart Classroom and Computer Lab in Village-90,Installation of Smart Classroom and Computer Lab in Village-90,Village-90,Block-10,26.93775,75.6395,1181294.0,1151997.76,992298.07,2024-10-26,2024-11-24,2025-01-11,2025-06-21,Completed,Kisan Rural Developers,Minor Irrigation Division
MPL-00229,Rajasthan,Jaipur,Jaipur,M. Joshi,Rural Connectivity & Roads,Widening of Rural Link Road connecting Village-28,Widening of Rural Link Road connecting Village-28,Village-28,Block-3,26.95924,75.92296,4020557.0,3845195.2,4006518.38,2024-09-21,2024-10-17,2024-11-21,2025-03-27,Completed,Sai Urban Works Pvt Ltd,Rural Engineering Service (RES)
MPL-00230,Bihar,Patna,Patna Sahib,R. S. Prasad,Community Infrastructure,Installation of Public Shed and Seating Area at Village-104,Installation of Public Shed and Seating Area at Village-104,Village-104,Block-10,25.52193,85.11317,746308.0,732843.54,553744.75,2022-12-30,2023-01-27,2023-03-24,2023-08-06,Completed,Vanguard Infra Solutions,Public Works Department (PWD)
MPL-00231,Bihar,Patna,Patna Sahib,R. S. Prasad,Rural Connectivity & Roads,Widening of Rural Link Road connecting Village-57,Widening of Rural Link Road connecting Village-57,Village-57,Block-2,25.69629,85.25055,4878626.0,4895523.17,4563803.95,2024-10-24,2024-11-18,2024-12-25,2025-04-07,Completed,National Civil Projects,District Rural Development Agency (DRDA)
MPL-00232,Maharashtra,Nagpur,Nagpur,N. Gadkari,Rural Connectivity & Roads,Widening of Rural Link Road connecting Village-144,Widening of Rural Link Road connecting Village-144,Village-144,Block-6,21.0628,79.19963,2767844.0,2891545.42,2684469.2,2024-10-14,2024-11-01,2024-11-21,,In Progress,Vanguard Infra Solutions,District Rural Development Agency (DRDA)
MPL-00233,Rajasthan,Jaipur,Jaipur,M. Joshi,Education & Schools,Construction of Additional Classrooms at Govt High School Village-121,Construction of Additional Classrooms at Govt High School Village-121,Village-121,Block-5,26.91254,75.89755,1312568.0,1360659.62,1148592.01,2024-09-04,2024-09-27,2024-10-16,2025-02-02,Completed,Vanguard Infra Solutions,Minor Irrigation Division
MPL-00234,Uttar Pradesh,Varanasi,Varanasi,N. Modi,Drinking Water & Sanitation,Installation of RO Water Purification Plant at Village-52,Installation of RO Water Purification Plant at Village-52,Village-52,Block-1,25.40128,82.97017,859315.0,851511.72,748309.61,2024-04-03,2024-04-13,2024-05-07,2024-08-21,Completed,National Civil Projects,District Rural Development Agency (DRDA)
MPL-00235,Karnataka,Bengaluru Rural,Bengaluru Rural,C. N. Manjunath,Rural Connectivity & Roads,Construction of CC Road and Drainage Channel at Village-44,Construction of CC Road and Drainage Channel at Village-44,Village-44,Block-1,13.04332,77.54651,2708544.0,2780180.58,2293793.13,2023-03-21,2023-04-01,2023-04-24,2023-12-02,Completed,Surya Shakti Engineering,Municipal Corporation
MPL-00236,Bihar,Patna,Patna Sahib,R. S. Prasad,Rural Connectivity & Roads,Construction of CC Road and Drainage Channel at Village-83,Construction of CC Road and Drainage Channel at Village-83,Village-83,Block-2,25.51198,85.2507,3087224.0,3190099.15,2337562.7,2024-11-01,2024-11-23,2024-12-08,2025-04-10,Completed,Sai Urban Works Pvt Ltd,Rural Engineering Service (RES)
MPL-00237,Rajasthan,Jaipur,Jaipur,M. Joshi,Drinking Water & Sanitation,Installation of RO Water Purification Plant at Village-12,Installation of RO Water Purification Plant at Village-12,Village-12,Block-6,27.02879,75.93594,812687.0,849133.04,680038.52,2024-05-31,2024-06-16,2024-08-08,2025-01-26,Completed,Kisan Rural Developers,Municipal Corporation
MPL-00238,Maharashtra,Nagpur,Nagpur,N. Gadkari,Education & Schools,Construction of Additional Classrooms at Govt High School Village-59,Construction of Additional Classrooms at Govt High School Village-59,Village-59,Block-5,21.10578,79.13336,1670435.0,1708382.08,1235055.72,2022-12-27,2023-01-23,2023-03-16,2023-06-15,Completed,Apex Infrastructure Ltd,Municipal Corporation
MPL-00239,Uttar Pradesh,Varanasi,Varanasi,N. Modi,Renewable Energy,Installation of Solar LED High-Mast Lighting System at Village-28,Installation of Solar LED High-Mast Lighting System at Village-28,Village-28,Block-1,25.33178,82.96622,742657.0,767619.19,530606.53,2023-04-10,2023-04-29,2023-06-09,2023-09-08,Completed,National Civil Projects,Rural Engineering Service (RES)
MPL-00240,Madhya Pradesh,Indore,Indore,S. Lalwani,Community Infrastructure,Installation of Public Shed and Seating Area at Village-134,Installation of Public Shed and Seating Area at Village-134,Village-134,Block-4,22.60492,75.7419,541545.0,548195.05,492923.95,2024-02-04,2024-03-04,2024-03-25,2024-10-29,Completed,Shree Ganesh Construction Co,Municipal Corporation
MPL-00241,Bihar,Patna,Patna Sahib,R. S. Prasad,Rural Connectivity & Roads,Widening of Rural Link Road connecting Village-52,Widening of Rural Link Road connecting Village-52,Village-52,Block-1,25.65056,85.1318,3501232.0,3572459.93,2761090.32,2023-01-29,2023-02-10,2023-04-01,2023-07-23,Completed,Bharat Engineers & Builders,Public Works Department (PWD)
MPL-00242,Gujarat,Rajkot,Rajkot,P. Rupala,Renewable Energy,Supply and installation of 25 Solar Street Lights in Village-39,Supply and installation of 25 Solar Street Lights in Village-39,Village-39,Block-2,22.4505,70.74101,997783.0,956882.15,851619.37,2023-03-30,2023-04-14,2023-05-15,2023-11-07,Completed,Surya Shakti Engineering,Public Works Department (PWD)
MPL-00243,Uttar Pradesh,Varanasi,Varanasi,N. Modi,Rural Connectivity & Roads,Paver Block Road Construction in Village-81,Paver Block Road Construction in Village-81,Village-81,Block-5,25.36176,82.9225,946688.0,969270.31,689661.77,2023-02-04,2023-02-16,2023-03-03,2023-10-18,Completed,Surya Shakti Engineering,Minor Irrigation Division
MPL-00244,Kerala,Wayanad,Wayanad,P. Gandhi,Rural Connectivity & Roads,Construction of CC Road and Drainage Channel at Village-30,Construction of CC Road and Drainage Channel at Village-30,Village-30,Block-1,11.73005,76.22107,2340491.0,2317144.66,1958901.11,2024-01-15,2024-01-30,2024-03-29,2024-09-12,Completed,Shree Ganesh Construction Co,Rural Engineering Service (RES)
MPL-00245,Gujarat,Rajkot,Rajkot,P. Rupala,Education & Schools,Solar Rooftop Power System installation for School at Village-124,Solar Rooftop Power System installation for School at Village-124,Village-124,Block-8,22.16254,70.85754,920617.0,926964.05,765445.94,2024-09-04,2024-09-17,2024-10-26,2025-05-30,Completed,National Civil Projects,Municipal Corporation
MPL-00246,Madhya Pradesh,Indore,Indore,S. Lalwani,Education & Schools,Construction of Additional Classrooms at Govt High School Village-17,Construction of Additional Classrooms at Govt High School Village-17,Village-17,Block-9,22.78673,75.7749,1748641.0,1775740.31,1230532.77,2024-10-27,2024-11-25,2025-01-12,2025-08-07,Completed,Kisan Rural Developers,Minor Irrigation Division
MPL-00247,Gujarat,Rajkot,Rajkot,P. Rupala,Education & Schools,Solar Rooftop Power System installation for School at Village-64,Solar Rooftop Power System installation for School at Village-64,Village-64,Block-9,22.42152,70.83607,752669.0,741059.04,679576.31,2024-01-05,2024-01-30,2024-02-23,2024-09-12,Completed,Apex Infrastructure Ltd,Rural Engineering Service (RES)
MPL-00248,Karnataka,Bengaluru Rural,Bengaluru Rural,C. N. Manjunath,Drinking Water & Sanitation,Installation of RO Water Purification Plant at Village-126,Installation of RO Water Purification Plant at Village-126,Village-126,Block-8,13.1075,77.53878,836208.0,814541.17,828718.52,2023-01-28,2023-02-21,2023-04-09,,In Progress,Bharat Engineers & Builders,Public Works Department (PWD)
MPL-00249,Karnataka,Bengaluru Rural,Bengaluru Rural,C. N. Manjunath,Community Infrastructure,Development of Community Center and Boundary Wall in Village-115,Development of Community Center and Boundary Wall in Village-115,Village-115,Block-10,13.0382,77.58494,1131414.0,1088273.96,960810.35,2024-10-02,2024-10-31,2024-11-16,,In Progress,Apex Infrastructure Ltd,Public Works Department (PWD)
MPL-00250,Rajasthan,Jaipur,Jaipur,M. Joshi,Renewable Energy,Installation of Solar LED High-Mast Lighting System at Village-117,Installation of Solar LED High-Mast Lighting System at Village-117,Village-117,Block-2,26.94239,75.8523,578705.0,570796.56,414516.3,2023-08-04,2023-08-17,2023-09-30,2024-05-05,Completed,Kisan Rural Developers,Municipal Corporation
MPL-00251,Bihar,Patna,Patna Sahib,R. S. Prasad,Community Infrastructure,Development of Community Center and Boundary Wall in Village-91,Development of Community Center and Boundary Wall in Village-91,Village-91,Block-2,25.45783,85.03685,1670196.0,1692520.04,1569940.51,2024-06-26,2024-07-14,2024-08-31,2024-11-26,Completed,National Civil Projects,Municipal Corporation
MPL-00252,Bihar,Patna,Patna Sahib,R. S. Prasad,Drinking Water & Sanitation,Installation of RO Water Purification Plant at Village-101,Installation of RO Water Purification Plant at Village-101,Village-101,Block-8,25.72209,85.23884,726061.0,722942.28,678450.36,2023-11-19,2023-12-13,2024-01-03,2024-03-14,Completed,Local Panchayat Works Unit,Public Works Department (PWD)
MPL-00253,Maharashtra,Nagpur,Nagpur,N. Gadkari,Education & Schools,Construction of Additional Classrooms at Govt High School Village-136,Construction of Additional Classrooms at Govt High School Village-136,Village-136,Block-7,21.20335,78.9903,2743952.0,2620082.22,2690698.71,2024-07-24,2024-08-22,2024-10-06,2025-01-19,Completed,National Civil Projects,Public Works Department (PWD)
MPL-00254,Kerala,Wayanad,Wayanad,P. Gandhi,Renewable Energy,Supply and installation of 25 Solar Street Lights in Village-108,Supply and installation of 25 Solar Street Lights in Village-108,Village-108,Block-9,11.67125,76.02201,819288.0,853363.03,760882.92,2023-09-19,2023-10-08,2023-11-17,2024-03-31,Completed,Vanguard Infra Solutions,Minor Irrigation Division
MPL-00255,Kerala,Wayanad,Wayanad,P. Gandhi,Renewable Energy,Installation of Solar LED High-Mast Lighting System at Village-52,Installation of Solar LED High-Mast Lighting System at Village-52,Village-52,Block-9,11.74852,76.27455,509949.0,516280.91,401418.52,2023-11-20,2023-12-20,2024-02-16,,In Progress,National Civil Projects,Minor Irrigation Division
MPL-00256,Kerala,Wayanad,Wayanad,P. Gandhi,Community Infrastructure,Development of Community Center and Boundary Wall in Village-144,Development of Community Center and Boundary Wall in Village-144,Village-144,Block-2,11.62118,76.23619,1303704.0,1314499.49,1281283.02,2024-02-22,2024-03-03,2024-04-30,2024-11-12,Completed,Apex Infrastructure Ltd,Minor Irrigation Division
MPL-00257,Madhya Pradesh,Indore,Indore,S. Lalwani,Drinking Water & Sanitation,Installation of RO Water Purification Plant at Village-15,Installation of RO Water Purification Plant at Village-15,Village-15,Block-9,22.82141,75.91488,709612.0,693076.5,663955.32,2023-10-10,2023-10-21,2023-12-18,,In Progress,Sai Urban Works Pvt Ltd,Rural Engineering Service (RES)
MPL-00258,Kerala,Wayanad,Wayanad,P. Gandhi,Education & Schools,Construction of Additional Classrooms at Govt High School Village-144,Construction of Additional Classrooms at Govt High School Village-144,Village-144,Block-7,11.62169,76.18135,1670406.0,1710898.77,1450549.11,2023-08-12,2023-09-01,2023-10-18,2024-06-12,Completed,Vanguard Infra Solutions,Municipal Corporation
MPL-00259,Uttar Pradesh,Varanasi,Varanasi,N. Modi,Community Infrastructure,Installation of Public Shed and Seating Area at Village-65,Installation of Public Shed and Seating Area at Village-65,Village-65,Block-10,25.38046,82.93422,506476.0,512582.16,473189.11,2024-03-13,2024-03-29,2024-04-27,2024-12-23,Completed,Local Panchayat Works Unit,Minor Irrigation Division
MPL-00260,Bihar,Patna,Patna Sahib,R. S. Prasad,Rural Connectivity & Roads,Paver Block Road Construction in Village-46,Paver Block Road Construction in Village-46,Village-46,Block-5,25.52783,85.06687,578086.0,559990.55,434800.76,2024-05-31,2024-06-10,2024-07-02,2024-12-18,Completed,National Civil Projects,Minor Irrigation Division
MPL-00261,Kerala,Wayanad,Wayanad,P. Gandhi,Education & Schools,Solar Rooftop Power System installation for School at Village-40,Solar Rooftop Power System installation for School at Village-40,Village-40,Block-2,11.62575,76.21897,520940.0,502900.02,415079.27,2023-02-02,2023-02-22,2023-04-18,2023-12-03,Completed,Reliable Works Corporation,District Rural Development Agency (DRDA)
MPL-00262,Bihar,Patna,Patna Sahib,R. S. Prasad,Drinking Water & Sanitation,Drilling of Deep Borewell and Overhead Tank Setup at Village-18,Drilling of Deep Borewell and Overhead Tank Setup at Village-18,Village-18,Block-10,25.6431,85.08692,979678.0,946307.28,845387.7,2024-01-23,2024-02-18,2024-03-09,2024-07-01,Completed,Sai Urban Works Pvt Ltd,Rural Engineering Service (RES)
MPL-00263,Karnataka,Bengaluru Rural,Bengaluru Rural,C. N. Manjunath,Renewable Energy,Installation of Solar LED High-Mast Lighting System at Village-30,Installation of Solar LED High-Mast Lighting System at Village-30,Village-30,Block-2,13.20217,77.62257,750716.0,739155.52,579631.1,2024-09-27,2024-10-19,2024-12-12,2025-04-13,Completed,Kisan Rural Developers,Municipal Corporation
MPL-00264,Rajasthan,Jaipur,Jaipur,M. Joshi,Renewable Energy,Supply and installation of 25 Solar Street Lights in Village-7,Supply and installation of 25 Solar Street Lights in Village-7,Village-7,Block-2,26.85133,75.83276,977802.0,979451.34,910478.67,2024-05-28,2024-06-10,2024-07-27,2024-10-06,Completed,Kisan Rural Developers,Minor Irrigation Division
MPL-00265,Maharashtra,Nagpur,Nagpur,N. Gadkari,Renewable Energy,Installation of Solar LED High-Mast Lighting System at Village-17,Installation of Solar LED High-Mast Lighting System at Village-17,Village-17,Block-3,21.24442,79.20179,510510.0,519205.78,475833.44,2024-02-29,2024-03-10,2024-03-31,,In Progress,Vanguard Infra Solutions,Public Works Department (PWD)
MPL-00266,Karnataka,Bengaluru Rural,Bengaluru Rural,C. N. Manjunath,Rural Connectivity & Roads,Construction of CC Road and Drainage Channel at Village-23,Construction of CC Road and Drainage Channel at Village-23,Village-23,Block-7,13.1878,77.54009,1653612.0,1579905.23,1551525.33,2024-07-05,2024-07-25,2024-08-13,2024-12-09,Completed,Surya Shakti Engineering,Municipal Corporation
MPL-00267,Uttar Pradesh,Varanasi,Varanasi,N. Modi,Education & Schools,Solar Rooftop Power System installation for School at Village-31,Solar Rooftop Power System installation for School at Village-31,Village-31,Block-5,25.42208,82.93121,780407.0,741847.01,714919.7,2023-02-15,2023-03-06,2023-04-27,,In Progress,Reliable Works Corporation,Public Works Department (PWD)
MPL-00268,Gujarat,Rajkot,Rajkot,P. Rupala,Rural Connectivity & Roads,Paver Block Road Construction in Village-98,Paver Block Road Construction in Village-98,Village-98,Block-3,22.37793,70.89123,914306.0,943757.84,648467.64,2023-05-22,2023-06-10,2023-07-29,,In Progress,Reliable Works Corporation,District Rural Development Agency (DRDA)
MPL-00269,Kerala,Wayanad,Wayanad,P. Gandhi,Community Infrastructure,Installation of Public Shed and Seating Area at Village-143,Installation of Public Shed and Seating Area at Village-143,Village-143,Block-7,11.62681,76.20649,474120.0,456256.83,332599.42,2024-08-03,2024-09-02,2024-10-12,2025-01-01,Completed,Kisan Rural Developers,Rural Engineering Service (RES)
MPL-00270,Maharashtra,Nagpur,Nagpur,N. Gadkari,Drinking Water & Sanitation,Installation of RO Water Purification Plant at Village-57,Installation of RO Water Purification Plant at Village-57,Village-57,Block-9,21.25122,79.21791,1146850.0,1185240.62,869653.91,2023-06-23,2023-07-05,2023-08-31,2023-11-12,Completed,Reliable Works Corporation,Municipal Corporation
MPL-00271,Rajasthan,Jaipur,Jaipur,M. Joshi,Community Infrastructure,Development of Community Center and Boundary Wall in Village-26,Development of Community Center and Boundary Wall in Village-26,Village-26,Block-4,26.95904,75.66731,1007007.0,1029724.0,852086.15,2023-11-15,2023-12-05,2024-01-11,,In Progress,Local Panchayat Works Unit,Public Works Department (PWD)
MPL-00272,Karnataka,Bengaluru Rural,Bengaluru Rural,C. N. Manjunath,Education & Schools,Installation of Smart Classroom and Computer Lab in Village-79,Installation of Smart Classroom and Computer Lab in Village-79,Village-79,Block-5,12.91595,77.49165,1427143.0,1439155.25,1241137.18,2023-12-19,2024-01-09,2024-02-13,2024-05-26,Completed,Bharat Engineers & Builders,Municipal Corporation
