contractor_id,contractor_name,registration_no,entity_type,primary_district,primary_state,incorporation_year,contact_email,total_projects_count,total_sanctioned_amount
CONTRACTOR-DEMO-0154,Panchsheel Infrastructure Ltd,REG-UT-2021-9595,CONTRACTOR,Gorakhpur,Uttar Pradesh,2021,contact@panchsheelin-demo.in,1,1160000.0
CONTRACTOR-DEMO-0155,Reliable Contractors,REG-TA-2014-2647,CONTRACTOR,Madurai,Tamil Nadu,2014,contact@reliablecont-demo.in,4,12300000.0
CONTRACTOR-DEMO-0156,Alliance Infra Solutions,REG-TE-2013-5853,CONTRACTOR,Karimnagar,Telangana,2013,contact@allianceinfr-demo.in,3,11590000.0
CONTRACTOR-DEMO-0157,Surya Shakti Infra Solutions,REG-UT-2015-3939,CONTRACTOR,Lucknow,Uttar Pradesh,2015,contact@suryashaktii-demo.in,6,8970000.0
CONTRACTOR-DEMO-0158,Vikas Rural Developers,REG-RA-2010-9751,CONTRACTOR,Jaipur,Rajasthan,2010,contact@vikasruralde-demo.in,3,4600000.0
CONTRACTOR-DEMO-0159,Samriddhi Engineers & Builders,REG-MA-2014-1745,CONTRACTOR,Pune,Maharashtra,2014,contact@samriddhieng-demo.in,4,5940000.0
CONTRACTOR-DEMO-0160,Krishna Engineering Works,REG-GU-2018-5786,CONTRACTOR,Ahmedabad,Gujarat,2018,contact@krishnaengin-demo.in,4,6150000.0
CONTRACTOR-DEMO-0161,Sai Infrastructure Ltd,REG-KE-2012-9042,CONTRACTOR,Ernakulam,Kerala,2012,contact@saiinfrastru-demo.in,5,5990000.0
CONTRACTOR-DEMO-0162,Reliable Enterprises,REG-MA-2010-5658,CONTRACTOR,Nagpur,Maharashtra,2010,contact@reliableente-demo.in,6,10080000.0
CONTRACTOR-DEMO-0163,Samriddhi Enterprises,REG-KA-2017-8216,CONTRACTOR,Bengaluru Rural,Karnataka,2017,contact@samriddhient-demo.in,2,5440000.0
CONTRACTOR-DEMO-0164,Kisan Civil Projects,REG-RA-2012-1841,CONTRACTOR,Jodhpur,Rajasthan,2012,contact@kisancivilpr-demo.in,4,5680000.0
CONTRACTOR-DEMO-0165,Riddhi Infra Solutions,REG-UT-2017-2869,CONTRACTOR,Gorakhpur,Uttar Pradesh,2017,contact@riddhiinfras-demo.in,5,12460000.0
CONTRACTOR-DEMO-0166,Shiv Shakti Engineers & Builders,REG-TE-2011-7565,CONTRACTOR,Karimnagar,Telangana,2011,contact@shivshaktien-demo.in,6,9970000.0
CONTRACTOR-DEMO-0167,Shiv Shakti Civil Projects,REG-KA-2011-1878,CONTRACTOR,Bengaluru Rural,Karnataka,2011,contact@shivshaktici-demo.in,3,5420000.0
CONTRACTOR-DEMO-0168,Navnirman Infra Solutions,REG-MA-2012-5978,CONTRACTOR,Pune,Maharashtra,2012,contact@navnirmaninf-demo.in,5,6560000.0
CONTRACTOR-DEMO-0169,Swastik Civil Projects,REG-GU-2013-2940,CONTRACTOR,Surat,Gujarat,2013,contact@swastikcivil-demo.in,6,7930000.0
CONTRACTOR-DEMO-0170,Alliance Rural Developers,REG-KA-2016-4697,CONTRACTOR,Dharwad,Karnataka,2016,contact@alliancerura-demo.in,2,2400000.0
CONTRACTOR-DEMO-0171,Golden Contractors,REG-TE-2018-7232,CONTRACTOR,Warangal,Telangana,2018,contact@goldencontra-demo.in,9,12710000.0
CONTRACTOR-DEMO-0172,Aditya Enterprises,REG-MA-2017-5871,CONTRACTOR,Jabalpur,Madhya Pradesh,2017,contact@adityaenterp-demo.in,3,2920000.0
CONTRACTOR-DEMO-0173,Kisan Infrastructure Ltd,REG-OD-2019-8025,CONTRACTOR,Khordha,Odisha,2019,contact@kisaninfrast-demo.in,6,10170000.0
CONTRACTOR-DEMO-0174,Maruti Projects Ltd,REG-RA-2019-1986,CONTRACTOR,Jaipur,Rajasthan,2019,contact@marutiprojec-demo.in,3,6070000.0
CONTRACTOR-DEMO-0175,Premier Projects Ltd,REG-TA-2021-2625,CONTRACTOR,Madurai,Tamil Nadu,2021,contact@premierproje-demo.in,2,4070000.0
CONTRACTOR-DEMO-0176,Surya Shakti Infrastructure Ltd,REG-TE-2013-4457,CONTRACTOR,Warangal,Telangana,2013,contact@suryashaktii-demo.in,5,8550000.0
CONTRACTOR-DEMO-0177,Apex Enterprises,REG-UT-2020-2330,CONTRACTOR,Gorakhpur,Uttar Pradesh,2020,contact@apexenterpri-demo.in,9,13030000.0
CONTRACTOR-DEMO-0178,Golden Engineering Works,REG-MA-2013-3847,CONTRACTOR,Nashik,Maharashtra,2013,contact@goldenengine-demo.in,1,630000.0
CONTRACTOR-DEMO-0179,Om Infra Solutions,REG-KA-2011-3564,CONTRACTOR,Dharwad,Karnataka,2011,contact@ominfrasolut-demo.in,3,4790000.0
CONTRACTOR-DEMO-0180,Siddhartha Infra Solutions,REG-GU-2016-8381,CONTRACTOR,Rajkot,Gujarat,2016,contact@siddharthain-demo.in,1,1620000.0
CONTRACTOR-DEMO-0181,Navnirman Engineers & Builders,REG-KE-2019-8699,CONTRACTOR,Ernakulam,Kerala,2019,contact@navnirmaneng-demo.in,3,6470000.0
CONTRACTOR-DEMO-0182,Mahalaxmi Projects Ltd,REG-RA-2010-4792,CONTRACTOR,Jaipur,Rajasthan,2010,contact@mahalaxmipro-demo.in,2,2500000.0
CONTRACTOR-DEMO-0183,Shree Ganesh Infra Solutions,REG-RA-2021-5632,CONTRACTOR,Jaipur,Rajasthan,2021,contact@shreeganeshi-demo.in,2,2050000.0
CONTRACTOR-DEMO-0184,Shanti Projects Ltd,REG-KE-2017-2166,CONTRACTOR,Ernakulam,Kerala,2017,contact@shantiprojec-demo.in,7,11600000.0
CONTRACTOR-DEMO-0185,United Construction Co,REG-KE-2013-5334,CONTRACTOR,Wayanad,Kerala,2013,contact@unitedconstr-demo.in,4,4390000.0
CONTRACTOR-DEMO-0186,Classic Enterprises,REG-TE-2020-4241,CONTRACTOR,Nizamabad,Telangana,2020,contact@classicenter-demo.in,5,7530000.0
CONTRACTOR-DEMO-0187,Balaji Engineering Works,REG-MA-2011-9922,CONTRACTOR,Bhopal,Madhya Pradesh,2011,contact@balajiengine-demo.in,3,6880000.0
CONTRACTOR-DEMO-0188,Universal Contractors,REG-UT-2020-3441,CONTRACTOR,Lucknow,Uttar Pradesh,2020,contact@universalcon-demo.in,3,2790000.0
CONTRACTOR-DEMO-0189,Balaji Engineers & Builders,REG-OD-2014-3330,CONTRACTOR,Ganjam,Odisha,2014,contact@balajiengine-demo.in,3,3770000.0
CONTRACTOR-DEMO-0190,Balaji Enterprises,REG-GU-2010-3718,CONTRACTOR,Surat,Gujarat,2010,contact@balajienterp-demo.in,2,3240000.0
CONTRACTOR-DEMO-0191,Surya Shakti Civil Projects,REG-TE-2014-5728,CONTRACTOR,Nizamabad,Telangana,2014,contact@suryashaktic-demo.in,6,7940000.0
CONTRACTOR-DEMO-0192,Navnirman Buildcon Pvt Ltd,REG-MA-2011-8679,CONTRACTOR,Jabalpur,Madhya Pradesh,2011,contact@navnirmanbui-demo.in,8,12010000.0
CONTRACTOR-DEMO-0193,Balaji Urban Works Pvt Ltd,REG-KE-2014-7594,CONTRACTOR,Ernakulam,Kerala,2014,contact@balajiurbanw-demo.in,3,4000000.0
CONTRACTOR-DEMO-0194,United Urban Works Pvt Ltd,REG-UT-2018-9847,CONTRACTOR,Gorakhpur,Uttar Pradesh,2018,contact@unitedurbanw-demo.in,6,16850000.0
CONTRACTOR-DEMO-0195,National Infra Solutions,REG-KA-2017-2317,CONTRACTOR,Bengaluru Rural,Karnataka,2017,contact@nationalinfr-demo.in,4,5920000.0
CONTRACTOR-DEMO-0196,Pragati Engineering Works,REG-TA-2010-8078,CONTRACTOR,Madurai,Tamil Nadu,2010,contact@pragatiengin-demo.in,4,4770000.0
CONTRACTOR-DEMO-0197,Universal Infrastructure Ltd,REG-KE-2015-5102,CONTRACTOR,Kozhikode,Kerala,2015,contact@universalinf-demo.in,4,6590000.0
CONTRACTOR-DEMO-0198,Aditya Infrastructure Ltd,REG-GU-2011-4750,CONTRACTOR,Rajkot,Gujarat,2011,contact@adityainfras-demo.in,3,8770000.0
CONTRACTOR-DEMO-0199,Shanti Civil Projects,REG-KE-2019-1339,CONTRACTOR,Wayanad,Kerala,2019,contact@shanticivilp-demo.in,2,2050000.0
CONTRACTOR-DEMO-0200,Gitanjali Construction Co,REG-TE-2020-5415,CONTRACTOR,Warangal,Telangana,2020,contact@gitanjalicon-demo.in,6,9380000.0
