case_id,project_id,case_title,assigned_to,status,priority,created_at,updated_at,review_category
CASE-MPLADS-DEMO-000806,MPLADS-DEMO-000806,Audit Review: Installation of Digital Smart Classroom and Computer Lab Infrastructure at Village-163,senior_auditor_patel,DISMISSED,LOW,2024-05-25T10:30:00,2024-05-31T11:30:00,Routine Quality Audit Sample
CASE-MPLADS-DEMO-000807,MPLADS-DEMO-000807,Audit Review: Construction of Multipurpose Community Hall at Village Village-47,lead_investigator_rao,VERIFIED,LOW,2024-05-26T10:30:00,2024-06-04T13:30:00,Routine Quality Audit Sample
CASE-MPLADS-DEMO-000808,MPLADS-DEMO-000808,Audit Review: Interlocking Paver Block Road Installation along Main Street in Village-192,district_officer_sharma,VERIFIED,LOW,2024-05-27T10:30:00,2024-06-12T12:30:00,Routine Quality Audit Sample
CASE-MPLADS-DEMO-000809,MPLADS-DEMO-000809,Audit Review: Upgradation of Rural Link Road connecting Hamlet to Main Highway at Village-179,auditor_verma,VERIFIED,LOW,2024-05-28T10:30:00,2024-06-04T11:30:00,Routine Quality Audit Sample
CASE-MPLADS-DEMO-000810,MPLADS-DEMO-000810,Audit Review: Installation of 10kW Rooftop Solar Power System at Primary Health Center Village-54,senior_auditor_patel,DISMISSED,LOW,2024-05-29T10:30:00,2024-06-16T17:30:00,Routine Quality Audit Sample
CASE-MPLADS-DEMO-000811,MPLADS-DEMO-000811,Audit Review: Drilling of Deep Borewell and Solar-Powered Overhead Water Tank at Village-56,lead_investigator_rao,DISMISSED,LOW,2024-05-30T10:30:00,2024-06-16T17:30:00,Routine Quality Audit Sample
CASE-MPLADS-DEMO-000812,MPLADS-DEMO-000812,Audit Review: Installation of Solar LED High-Mast Lighting System at Market Yard Village-83,district_officer_sharma,VERIFIED,LOW,2024-05-31T10:30:00,2024-06-12T13:30:00,Routine Quality Audit Sample
CASE-MPLADS-DEMO-000813,MPLADS-DEMO-000813,Audit Review: Installation of Community RO Water Purification Plant at Village-113,auditor_verma,VERIFIED,LOW,2024-06-01T10:30:00,2024-06-17T17:30:00,Routine Quality Audit Sample
CASE-MPLADS-DEMO-000814,MPLADS-DEMO-000814,Audit Review: Construction of Cement Concrete (CC) Road and Drain Channel at Village-60,senior_auditor_patel,CLOSED,LOW,2024-06-02T10:30:00,2024-06-04T18:30:00,Routine Quality Audit Sample
CASE-MPLADS-DEMO-000815,MPLADS-DEMO-000815,Audit Review: Installation of 10kW Rooftop Solar Power System at Primary Health Center Village-135,lead_investigator_rao,CLOSED,LOW,2024-06-03T10:30:00,2024-06-13T18:30:00,Routine Quality Audit Sample
CASE-MPLADS-DEMO-000816,MPLADS-DEMO-000816,Audit Review: Laying of Underground Drinking Water Pipeline Distribution in Village-1,district_officer_sharma,DISMISSED,LOW,2024-06-04T10:30:00,2024-06-11T14:30:00,Routine Quality Audit Sample
CASE-MPLADS-DEMO-000817,MPLADS-DEMO-000817,Audit Review: Supply and Erection of 30 Standalone Solar Street Lights in Village-2,auditor_verma,VERIFIED,LOW,2024-06-05T10:30:00,2024-06-18T16:30:00,Routine Quality Audit Sample
CASE-MPLADS-DEMO-000818,MPLADS-DEMO-000818,Audit Review: Drilling of Deep Borewell and Solar-Powered Overhead Water Tank at Village-196,senior_auditor_patel,DISMISSED,LOW,2024-06-06T10:30:00,2024-06-21T13:30:00,Routine Quality Audit Sample
CASE-MPLADS-DEMO-000819,MPLADS-DEMO-000819,Audit Review: Installation of Solar LED High-Mast Lighting System at Market Yard Village-57,lead_investigator_rao,DISMISSED,LOW,2024-06-07T10:30:00,2024-06-24T11:30:00,Routine Quality Audit Sample
CASE-MPLADS-DEMO-000820,MPLADS-DEMO-000820,Audit Review: Development of Public Recreation Shed and Boundary Wall in Village-78,district_officer_sharma,DISMISSED,LOW,2024-06-08T10:30:00,2024-06-16T16:30:00,Routine Quality Audit Sample
